produto;quantidade;preco_unitario
Monitor;10;799.90
Teclado;25;120.50
Mouse;40;50.00
Webcam;15;250.00
Headset Gamer;30;189.90
SSD 1TB;45;350.00
Memoria RAM 16GB;50;280.00
Placa Mae;12;650.00
Processador;8;1200.00
Fonte 600W;20;320.00
Gabinete;14;210.00
Placa de Video;5;2500.00
Cooler para Processador;35;90.00
Microfone de Mesa;18;150.00
Cadeira Gamer;7;950.00
Cabo HDMI 2m;60;25.00
Nobreak;10;450.00
Pen Drive 64GB;80;45.00
Roteador Wi-Fi;22;180.00
Switch 8 portas;15;95.00
HD Externo 2TB;12;420.00
Suporte Articulado Monitor;9;160.00
Hub USB 4 Portas;40;35.00
Caixa de Som Bluetooth;25;110.00
Placa de Captura;6;380.00
Fone de Ouvido Intrauricular;55;65.00
Adaptador Wi-Fi USB;35;40.00
Pasta Termica;50;20.00
Kit Chaves Manutencao;15;55.00
Limpa Telas;45;15.00
Organizador de Cabos;100;10.00
Mousepad Extra Grande;30;75.00
Teclado Mecanico;18;310.00
Base Cooler para Notebook;20;95.00
Placa de Rede PCI;12;60.00
Cabo de Rede 5m;70;18.00
Repetidor Wi-Fi;25;110.00
SSD NVMe 500GB;38;260.00
Bateria CR2032;120;5.00
Carregador de Notebook;14;130.00
Suporte para Headset;28;45.00
Fita LED RGB;40;60.00
Controle USB PC;22;140.00
Impressora Multifuncional;8;750.00
Cartucho de Tinta Preto;30;85.00
Webcam 4K;4;650.00
Microfone de Lapela;25;80.00
Braco Articulado Microfone;15;120.00
Cabo DisplayPort;35;45.00
Capa para Notebook;40;55.00